#,Company_Name,Aktenzeichen,Date_Incorporation,CMP_Status,Amtsgericht,Street,Postcode,City,Industry,WZ2008,Startup_Website,LinkedIn_URL,Crunchbase_URL,Northdata_URL,Comment,Founding_Team_Size
80,Printoptix GmbH,HRB 782517,2021-12-21,A,Stuttgart,Johannesstraße 11,D-70176,Stuttgart,Industrie,26,https://www.printoptics.de/,https://www.linkedin.com/company/printoptics/,,,,0
81,Prismamed GmbH,HRB 271900,2021-12-21,A,München,Franz-Joseph-Straße 38,D-80801,München,Medizin,62,,,,,,0
82,Applimeda GmbH,HRB 25383,2021-12-20,A,Aachen,Jülicher Straße 72a,D-52070,Aachen,Medizin,62,http://www.applimeda.com/,https://www.linkedin.com/company/applimeda,,,,0
83,bitsurance UG (haftungsbeschränkt),HRB 207867,2021-12-20,A,Hildesheim,Dammstraße 41,D-31134,Hildesheim,Versicherung,65,,,,,,0
84,Driverslog Pro GmbH,HRB 782495,2021-12-20,A,Stuttgart,Hurschstraße 15,D-72810,Gomaringen,Mobilität,62,https://driverslogpro.de/,,,,,0
85,Orbiture UG (haftungsbeschränkt),HRB 108714,2021-12-20,A,Köln,Reischplatz 11,D-50679,Köln,Umwelttechnologie,63,,https://www.linkedin.com/company/orbiture/,,,,0
86,polycirQ GmbH,HRB 108708,2021-12-20,A,Köln,Apostelnstraße 1 - 3,D-50667,Köln,Umwelttechnologie,32,http://polycirq.de/,,,,,0
87,PolyPirates UG (haftungsbeschränkt),HRB 95868,2021-12-20,A,Düsseldorf,Lennéstraße 34,D-40477,Düsseldorf,Gaming,62,https://polypirates.com/,,,,,0
88,Ragnar UG (haftungsbeschränkt),HRB 743407,2021-12-20,A,Ulm,Carl-Schurz-Straße 12,D-89075,Ulm,eCommerce,32,,,,,,0
89,shared mobility services GmbH,HRB 207868,2021-12-20,A,Hildesheim,Mittelstraße 18,D-31275,Lehrte,Mobilität,77,http://sharedmobilityservices.de/,,,,,0
90,Smart & Cheeky GmbH,HRB 172767,2021-12-20,A,Hamburg,Schützenstraße 74,D-22761,Hamburg,Personal,62,,,,,,0
91,Soulbreak GmbH,HRB 23815 KI,2021-12-20,A,Kiel,Hauskoppel 18,D-24105,Kiel,Medizin,63,http://www.soulbreak.de/,https://www.linkedin.com/company/soulbreak/,,,,0
92,sovity GmbH,HRB 33586,2021-12-20,A,Dortmund,Emil-Figge-Straße 76,D-44227,Dortmund,Software,62,https://sovity.de/,https://www.linkedin.com/company/sovity,,,,0
93,TALENT SAXONY GmbH,HRB 42272,2021-12-20,A,Dresden,Marschnerstraße 39,D-01307,Dresden,Bauwesen,72,,,,,,0
94,VenueScout GmbH,HRB 108718,2021-12-20,A,Köln,Am Römerturm 1,D-50667,Köln,Tourismus,62,https://www.venuescout.org/,https://www.linkedin.com/company/venuescoutplatform/,,,,0
95,Heal11 GmbH,HRB 39894,2021-12-18,A,Nürnberg,Georg-Hennch-Straße 17,D-90431,Nürnberg,Medizin,62,https://heal11.de/,https://www.linkedin.com/company/heal11-gmbh/,,,,0
96,IMMOFOX GmbH,HRB 19284,2021-12-18,A,Fürth,Pfisterstraße 14,D-90762,Fürth,Immobilien,62,,,,,,0
97,JPEG Import/Export GmbH,HRB 217628,2021-12-18,A,Oldenburg,Bürgerfelder Straße 1,D-26127,Oldenburg,Blockchain / Crypto,62,,,,,,0
98,CapiWise UG (haftungsbeschränkt),HRB 236741 B,2021-12-17,A,Charlottenburg (Berlin),Mittelheide 14,D-12555,Berlin,Finanzbereich,63,http://www.capiwise.com/,,,,,0
99,ecoro GmbH,HRB 15996,2021-12-17,A,Würzburg,Friedrich-Bergius-Ring 15,D-97076,Würzburg,Mobilität,32,,,,,,0
100,HappieHaus Wellbeing GmbH,HRB 236824 B,2021-12-17,A,Charlottenburg (Berlin),Schönhauser Allee 162,D-10435,Berlin,Medizin,62,https://happiehaus.com/,https://www.linkedin.com/company/happie-haus/,,,,0
101,Kcrypt Lab UG (haftungsbeschränkt),HRB 236758 B,2021-12-17,A,Charlottenburg (Berlin),Hardenbergstraße 12,D-10623,Berlin,Software,62,,,,,,0
102,Lidyne UG (haftungsbeschränkt),HRB 782443,2021-12-17,A,Stuttgart,"Obere Wässere 1, c/o Rechtsanwalt Dr. Güldü",D-72764,Reutlingen,Hardware,27,https://lidyne.com/,,,,,0
103,m2ing GmbH,HRB 271855,2021-12-17,A,München,Isartalstraße 44 a,D-80469,München,Immobilien,62,,,,,,0
104,MAxK GmbH,HRB 725592,2021-12-17,A,Freiburg,Untere Hausmatt 19,D-77796,Mühlenbach,Sport,26,https://maxk-germany.com/,,,,,0
105,McHeadhunter UG (haftungsbeschränkt),HRB 33576,2021-12-17,A,Dortmund,Technologiezentrum Lohbachstraße 12,D-58239,Schwerte,Personal,78,https://www.mcheadhunter.com/,https://www.linkedin.com/company/mcheadhunter/,,,,0
106,Meoton GmbH,HRB 236870 B,2021-12-17,A,Charlottenburg (Berlin),Hagelberger Straße 4,D-10965,Berlin,Lebensmittel,62,https://www.meoton.com/,,,,,0
107,Oogtech AI UG (haftungsbeschränkt),HRB 102836,2021-12-17,A,Darmstadt,Berliner Allee 65,D-64295,Darmstadt,Medizin,62,https://www.oogtech-ai.de/,,,,,0
108,PRCS App UG (haftungsbeschränkt),HRB 236762 B,2021-12-17,A,Charlottenburg (Berlin),Am Eichenhain 45,D-13465,Berlin,Finanzbereich,62,https://prcsapp.com/,,,,,0
109,RockFeel GmbH,HRB 34552,2021-12-17,A,Chemnitz,"Halsbrücker Straße 34, Teilobjekt 6",D-09599,Freiberg,Bauwesen,26,,,,,,0
110,RotHuf UG (haftungsbeschränkt),HRB 30726,2021-12-17,A,Stendal,Haldensleber Straße 39,D-39359,Calvörde,Sport,26,http://rothuf.com/,,,,,0
111,SafeHome GmbH,HRB 742339,2021-12-17,A,Mannheim,Römerstraße 74,D-69115,Heidelberg,Immobilien,47,,,,,,0
112,SNACKED! UG (haftungsbeschränkt),HRB 19920,2021-12-17,A,Münster,Kolde-Ring 59,D-48151,Münster,Software,62,,,,,,0
113,Terra CT GmbH,HRB 782448,2021-12-17,A,Stuttgart,Emerholzweg 31,D-70439,Stuttgart,Industrie,26,http://terra-ct.de/,,,,,0
114,THEO App GmbH,HRB 271829,2021-12-17,A,München,Bahnhofstraße 5,D-83646,Bad Tölz,Mobilität,62,https://theo-app.com/,,,,,0
115,Wide Thinker UG (haftungsbeschränkt),HRB 125781,2021-12-17,A,Frankfurt am Main,"c/o Unibator, Senckenberganlage 31",D-60325,Frankfurt am Main,Bildung,63,,,,,,0
116,Clevercreek UG (haftungsbeschränkt),HRB 7711,2021-12-16,A,Ansbach,Schlauersbach 5,D-91586,Lichtenau,Sport,32,http://clevercreek.de/,,,,,0
117,Crewting GmbH,HRB 36914,2021-12-16,A,Augsburg,Proviantbachstraße 1 1/5,D-86153,Augsburg,Personal,62,https://crewting.com/,,,,,0
118,Green IN Beauty UG (haftungsbeschränkt),HRB 36910,2021-12-16,A,Augsburg,Oberbürgermeister-Dr. Engshuber-Straße 18 b,D-86899,Landsberg am Lech,eCommerce,32,http://greeninbeauty.de/,,,,,0
119,haperepa UG (haftungsbeschränkt),HRB 11615,2021-12-16,A,Passau,Stephanstraße 151,D-94034,Passau,Software,62,,,,,,0
120,Lifelight Entertainment GmbH,HRB 33573,2021-12-16,A,Dortmund,Freie-Vogel-Straße 369,D-44263,Dortmund,Gaming,62,https://lifelight-entertainment.de/,https://www.linkedin.com/company/lifelight-entertainment/,,,,0
121,Luc & Dan´s Food Lab GmbH,HRB 271772,2021-12-16,A,München,Plinganserstraße 42,D-81369,München,Lebensmittel,10,http://lucanddans.com/,https://www.linkedin.com/company/luc-and-dan-s-food-lab/,,,,0
122,Mango Netsolutions GmbH,HRB 125759,2021-12-16,A,Frankfurt am Main,Theodor-Heuss-Allee 12,D-60486,Frankfurt am Main,Software,62,,,,,,0
123,memodio GmbH,HRB 36139 P,2021-12-16,A,Potsdam,"c/o Potsdam Transfer, August-Bebel-Straße 89",D-14482,Potsdam,Medizin,62,https://memodio-app.com/,https://www.linkedin.com/company/memodio-app/,,,,0
124,merlim GmbH,HRB 782414,2021-12-16,A,Stuttgart,Herzog-Philipp-Platz 5,D-73760,Ostfildern,Lebensmittel,10,https://www.merlim.de/,,,,,0
125,Mostly Games UG (haftungsbeschränkt),HRB 236632 B,2021-12-16,A,Charlottenburg (Berlin),Husemannstraße 33,D-10435,Berlin,Gaming,62,,,,,,0
126,Pharma-Care Deutschland PCD UG (haftungsbeschränkt),HRB 172725,2021-12-16,A,Hamburg,Kleine Reichenstraße 1,D-20457,Hamburg,Medizin,62,https://skillme.de/pharmacare/,,,,,0
127,Praxion GmbH,HRB 209923,2021-12-16,A,Walsrode,Maschstraße 13,D-49356,Diepholz,Medizin,62,,,,,,0
128,Synctive UG (haftungsbeschränkt),HRB 44618,2021-12-16,A,Bielefeld,Obernstraße 50,D-33602,Bielefeld,Industrie,62,https://synctive.de/,https://www.linkedin.com/company/synctive/,,,,0
129,COGO Hub GmbH,HRB 236641 B,2021-12-15,A,Charlottenburg (Berlin),Welfenallee 19,D-13465,Berlin,Personal,62,https://cogohub.eu/,,,,,0
130,Directra GmbH,HRB 782398,2021-12-15,A,Stuttgart,Kaffeeberg 11,D-71634,Ludwigsburg,Personal,63,,,,,,0
