name_x;name_y;CoInvestments
ALSP20 L.L.C.;Philippe Teixeira da Mota;1
ALSP20 L.L.C.;RJ Expeditions GmbH;1
ALSP20 L.L.C.;Scout VI-A, LLC;1
ALSP20 L.L.C.;Speedinvest Ill EUVECA GmbH & Co KG;1
ALSP20 L.L.C.;Stevan Lutz Invest UG (haftungsbeschrankt);1
ALSP20 L.L.C.;Tiny Fund Il, a series of Tiny Supercomputer Investment Companies, LP;1
ALSP20 L.L.C.;Tiny Il, a series of Continental Tiny Supercomputer Investment Companies, LP;1
ALSP20 L.L.C.;another.vc GmbH;1
ALSP20 L.L.C.;eNugget Ventures UG (haftungsbeschrankt);1
ALSP20 L.L.C.;wrapall UG (haftungsbeschrankt);1
ALSTIN II Fonds GmbH & Co. KG;BigCityLabs UG (haftungsbeschrankt);1
ALSTIN II Fonds GmbH & Co. KG;Capnamic Ventures Fund Il GmbH & Co. KG;1
ALSTIN II Fonds GmbH & Co. KG;Cynthia Wandia Mburu;1
ALSTIN II Fonds GmbH & Co. KG;Finparx Holding GmbH;1
ALSTIN II Fonds GmbH & Co. KG;HN Business Concepts GmbH;1
ALSTIN II Fonds GmbH & Co. KG;HW Capital GmbH;1
ALSTIN II Fonds GmbH & Co. KG;MaLou Beteiligungs UG (haftungsbeschrankt);1
ALSTIN II Fonds GmbH & Co. KG;Main Incubator GmbH;1
